"SortIndex","VirtualDistance (m)","DepthOfCover (m)","ACVG_VSS_DB","Attenuation","DCVGPercentIR","CPCIPS_OnPotential","CPCIPS_InstantOffPotential","ACPSP_OnPotential","Latitude","Longitude","Pipe_Top_Elevation (m)","Pipe_Center_Elevation (m)","Pipe_Bottom_Elevation (m)","ALIASList","FeatureID","ROWALIASList","Comment"
8006,33541.194414088,1.436,62,3.79123643000009,0,-1.091,-0.941,0.319,26.4916624648889,90.8640381498333,40.194,40.0162,39.8384,,9000,,
8007,33542.5777651598,1.476,58,4.0858943685795,0,-1.102,-0.944,0.33,26.4916634410833,90.86405196575,40.13,39.9522,39.7744,,9000,,
8008,33542.6649442356,1.486,58,3.77520259474633,0,-1.102,-0.945,0.375,26.4916638473333,90.8640524112778,40.19,40.0122,39.8344,,9000,,
8009,33545.6492251999,1.45800000000001,63,3.46508730640472,0,-1.096,-0.949,0.42,26.4916670502222,90.8640820290556,40.431,40.2532,40.0754,,9000,,
8010,33547.1850007932,1.408,61,3.947746572458,0,-1.091,-0.947,0.449,26.4916692167778,90.8640972177222,40.516,40.3382,40.1604,,9000,,
8011,33548.868984248,1.434,61,4.70886178325045,0,-1.09,-0.952,0.436,26.4916701772778,90.8641140687778,40.482,40.3042,40.1264,,9000,,
8012,33550.4360290999,1.406,60,4.80058130852672,0,-1.093,-0.954,0.419,26.49167189,90.8641296660833,40.454,40.2762,40.0984,,9000,,
8013,33552.0785516133,1.39,61,3.49734538752595,0,-1.088,-0.959,0.337,26.4916730434167,90.8641460879167,40.469,40.2912,40.1134,,9000,,
8014,33553.6971115219,1.33000000000001,62,4.17501016716587,0,-1.084,-0.967,0.245,26.49167382225,90.8641622960833,40.452,40.2742,40.0964,,9000,,
8015,33555.2910287889,1.33600000000001,63,5.12007042866076,0,-1.074,-0.953,0.211,26.4916758018333,90.8641781286111,40.463,40.2852,40.1074,,9000,,
8016,33557.0332885144,1.242,62,4.31159171164337,0,-1.074,-0.967,0.193,26.4916787038333,90.86419529225,40.518,40.3402,40.1624,,9000,,
8017,33558.6272230666,1.236,63,4.21312972072922,0,-1.076,-0.966,0.151,26.4916816163333,90.8642109451667,40.537,40.3592,40.1814,,9000,,
8018,33560.2341565364,1.27,70,4.21312972072922,0,-1.071,-0.954,0.076,26.491683759,90.8642268821667,40.514,40.3362,40.1584,,9000,,
8019,33562.263702432,1.27200000000001,67,4.94765135644628,0,-1.071,-0.96,0.07,26.4916856605,90.8642471243333,40.488,40.3102,40.1324,,9000,,
8020,33563.9440709481,1.246,65,5.08999665509178,0,-1.072,-0.95,0.072,26.4916886326667,90.8642636402778,40.543,40.3652,40.1874,,9000,,
8021,33565.7230677261,1.258,61,3.72413197215948,0,-1.085,-0.957,0.074,26.4916898573333,90.8642814276667,40.568,40.3902,40.2124,,9000,,
8022,33567.6007471908,1.244,58,4.78767759888954,0,-1.088,-0.966,0.105,26.4916911739167,90.86430020025,40.546,40.3682,40.1904,,9000,,
8023,33569.4463775309,1.25,62,5.29406325753919,0,-1.082,-0.83,0.088,26.49169168525,90.8643186990833,40.52,40.3422,40.1644,,9000,,
8024,33571.2700074611,1.286,73,5.22525697938036,0,-1.075,-0.285,0.101,26.4916947591667,90.8643366558889,40.46,40.2822,40.1044,,9000,,
8025,33573.3526034587,1.31,69,5.55745845187899,0,-1.075,-0.953,0.116,26.4916985638333,90.8643571085,40.442,40.2642,40.0864,,9000,,
8026,33575.28478598,1.332,67,5.65307928373695,0,-1.074,-0.95,0.154,26.4917005310556,90.8643763586111,40.479,40.3012,40.1234,,9000,,
8027,33576.8306950861,1.364,61,4.73888996385091,0,-1.081,-0.941,0.287,26.4917023106667,90.8643917355,40.477,40.2992,40.1214,,9000,,
8028,33578.9163618112,1.32400000000001,61,5.11521967140947,0,-1.076,-0.964,0.39,26.4917054815,90.8644123525,40.46,40.2822,40.1044,,9000,,
8029,33580.5073534951,1.29,61,4.47371767870549,0,-1.096,-0.969,0.453,26.49170699075,90.86442821925,40.447,40.2692,40.0914,,9000,,
8030,33582.1093749427,1.262,67,4.19228088728639,0,-1.083,-0.966,0.475,26.4917066685556,90.8644442811111,40.459,40.2812,40.1034,,9000,,
8031,33584.0426313934,1.28,60,4.80808861690879,0,-1.097,-0.969,0.492,26.4917086415,90.86446354475,40.451,40.2732,40.0954,,9000,,
